,pid,name,sid,sentence
0,0,alabama,0,"Alabama () is a state in the southern United States, bordered by Tennessee in the north, Georgia in the east, Florida and Gulf of Mexico in the south, and Mississippi in the west."
1,0,alabama,1,Alabama is the 30th largest region and the 24th most populous of the United States.
2,0,alabama,2," With a total of 1,500 miles (2,400 km) of inland waterways, Alabama is among the largest in all states."
3,0,alabama,3,"Alabama is nicknamed the state of Yellowhammer, after the state bird."
4,0,alabama,4,Alabama is also known as the Heart of Dixie and Cotton State.
5,0,alabama,5,"The state tree is the long-leaf pine, and the state flower is the camellia."
6,0,alabama,6,The capital of the Alabama is Montgomery.
7,0,alabama,7,"The largest city per population is Birmingham, which has long been the most industrialized city; the largest city per region is Huntsville."
8,0,alabama,8,"The oldest city is Mobile, founded by French settlers in 1702 as the capital of French Louisiana."
9,0,alabama,9," Greater Birmingham is the largest urban economy in Alabama, its most populated urban area and its economic center."
10,0,alabama,10," From the American Civil War to the Second World War, Alabama, like many states in the southern United States, experienced economic difficulties, partly because of its continued dependence on agriculture."
11,0,alabama,11," Like other former slave states, Alabamian legislators have used Jim Crow's laws to deprive African Americans of their right to vote and otherwise discriminate against them from the end of the reconstruction era until at least the 1970s."
12,0,alabama,12," Despite the growth of large industries and urban centres, white rural interests dominated the state legislature from 1901 to 1960."
13,0,alabama,13," During this period, urban interests and African Americans were clearly underrepresented."
14,0,alabama,14," After World War II, Alabama grew as the state economy moved from an economy based primarily on agriculture to an economy with diverse interests."
15,0,alabama,15,"The government's economy in the 21st century is based on management, automobile, finance, manufacturing, aerospace, mineral extraction, health care, education, retail trade and technology."
16,0,alabama,16,"The European-American name of the Alabama River and State was derived from the people of Alabama, a Muskogean tribe whose members lived just below the confluence of the Coosa and Tallapoosa rivers on the upper part of the river."
17,0,alabama,17,"In the Alabama language, the word of a person of Alabama lineage is Albaamo (or alternatively Albaama or Albaamo in different dialects; the plural form is Albaamaha)."
18,0,alabama,18,"The suggestion that ""Alabama"" has been borrowed from the Choctaw language is unlikely."
19,0,alabama,19,The spelling of the word varies considerably depending on historical sources.
20,0,alabama,20,"The first use appears in three accounts of the Soto expedition Hernando of 1540: Garcilaso de la Vega used Alibamo, while the Knight of Elvas and Rodrigo Ranjel wrote Alibamu and Limamu, respectively, in the transliterations of the term."
21,0,alabama,21,"As early as 1702, the French called the tribe the Alibamons, with French maps identifying the river as the River of the Alibamons."
22,0,alabama,22," Other spellings of the name include Alibamu, Alabamo, Albama, Alibamon, Alibama, Alibamou, Alabamu, Allibamou."
23,0,alabama,23,Sources disagree on the meaning of the word.
24,0,alabama,24," Some researchers suggest that the word comes from Choctaw alba (i.e., ""plants"" or ""herbs"") and amo (i.e., ""to be cut"", ""to be cut"" or ""to be gathered"")."
25,0,alabama,25," These may include ""furnace clearers"" or ""herb pickers,"" which refer to clearing grounds for cultivation or collection of medicinal plants."
26,0,alabama,26,The state has numerous toponyms of Amerindian origin.
27,0,alabama,27," However, there are no similar words in the alabama language."
28,0,alabama,28,"An article from 1842 in the Republican of Jacksonville proposed that it means ""Here we rest""."
29,0,alabama,29, This notion was popularized in the 1850s by the writings of Alexander Beaufort Meek.
30,0,alabama,30, Muslim language experts found no evidence to support such a translation.
31,0,alabama,31, Indigenous peoples of diverse cultures lived in the region for thousands of years before the advent of European settlement.
32,0,alabama,32,Trade with the tribes of the northeast by the Ohio River began during the period of burials (1000 B.C. – 700 B.C.) and continued until European contact.
33,0,alabama,33," Mississippi's agrarian culture covered most of the state from 1000 to 1600 CE, with one of its main centers built on what is now the archaeological site of Moundville in Moundville, Alabama."
34,0,alabama,34,"It is the second largest complex in the classical Middle Mississippi era, after Cahokia in present-day Illinois, which was the centre of culture."
35,0,alabama,35,The analysis of artifacts from the Moundville archaeological excavations served as a basis for the researchers' formulation of the characteristics of the southeastern ceremonial complex (SECC).
36,0,alabama,36," Contrary to popular belief, SCEC seems to have no direct connection to Mesoamerican culture, but to have developed independently."
37,0,alabama,37,The Ceremonial Complex represents a major component of the religion of the Mississippi peoples.
38,0,alabama,38," Among the historical tribes of the Amerindians living in Alabama today at the time of European contact were the Cherokee, an Iroquoian-speaking people; and the Muslim-speaking Alabamas (Alibamu), Chickasaw, Choctaw, Creek, and Koasati."
39,0,alabama,39," Although part of the same large linguistic family, Muskogee tribes have developed distinct cultures and languages."
40,0,alabama,40," With exploration in the sixteenth century, the Spaniards were the first Europeans to reach Alabama."
41,0,alabama,41,Hernando de Soto's expedition crossed Mabila and other parts of the state in 1540.
42,0,alabama,42,"More than 160 years later, the French founded the first European establishment in the region at Old Mobile in 1702."
43,0,alabama,43,The town was moved to the current location of Mobile in 1711.
44,0,alabama,44, This region was claimed by the French from 1702 to 1763 in the framework of La Louisiana.
45,0,alabama,45," After the loss of the French against the British in the Seven Years' War, he was part of British West Florida from 1763 to 1783."
46,0,alabama,46," After the victory of the United States in the American revolutionary war, the territory was divided between the United States and Spain."
47,0,alabama,47,The latter retained control of that western territory from 1783 until the surrender of the Spanish garrison of Mobile to the American forces on 13 April 1813.
48,0,alabama,48,"Thomas Bassett, loyalist of the British monarchy in the revolutionary era, was one of the first white settlers of the state outside Mobile."
49,0,alabama,49,He settled in the Tombigbee district in the early 1770s.
50,0,alabama,50,"The boundaries of the district were approximately limited to the area a few miles from the Tombigbee River and included portions of what is now found in southern Clarke County, the northerly Mobile County, and most of Washington County."
51,0,alabama,51," What is now the counties of Baldwin and Mobile became part of Spanish Western Florida in 1783, part of the Independent Republic of West Florida in 1810, and was finally added to Mississippi territory in 1812."
52,0,alabama,52, Most of what is now two-thirds north of Alabama was known as Yazoo's land from the British colonial period.
53,0,alabama,53,It was claimed by the Province of Georgia from 1767.
54,0,alabama,54," After the revolutionary war, it remains part of Georgia, although it is strongly contested."
55,0,alabama,55," With the exception of the area around Mobile and the lands of Yazoo, what is now the lower third of Alabama was part of the territory of Mississippi when it was organized in 1798."
56,0,alabama,56,Yazoo's lands were added to the territory in 1804 as a result of the Yazoo land scandal.
57,0,alabama,57, Spain maintained a claim on its former Spanish territory of West Florida in what would become the coastal counties until the Adams–Onís treaty officially gave it to the United States in 1819.
58,0,alabama,58," Prior to Mississippi's admission to the state on 10 December 1817, the less populated eastern half of the territory was separated and named territory of Alabama."
59,0,alabama,59,The United States Congress created the territory of Alabama on 3 March 1817.
60,0,alabama,60,"St. Stephens, now abandoned, served as the territorial capital between 1817 and 1819."
61,0,alabama,61,"The Alabama was admitted as the 22nd state on 14 December 1819, when Congress chose Huntsville as the site of the first Constitutional Convention."
62,0,alabama,62," From July 5 to August 2, 1819, delegates met to prepare for the new state constitution."
63,0,alabama,63,"Huntsville served as a temporary capital from 1819 to 1820, when the seat of government moved to Cahaba, Dallas County."
64,0,alabama,64,"Cahaba, now a ghost town, was the first permanent capital of the State from 1820 to 1825."
65,0,alabama,65,"The rush to Alabama Fever was underway when the state was admitted into the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation."
66,0,alabama,66,"Part of the border in the 1820s and 1830s, its constitution provided for the universal suffrage of the whites."
67,0,alabama,67, Planters in the south-east and traders in the south brought slaves with them as cotton plantations in Alabama developed.
